"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"affy","affy","/home/jupyter/.R/library","1.74.0",NA,"R (>= 2.8.0), BiocGenerics (>= 0.1.12), Biobase (>= 2.5.5)","affyio (>= 1.13.3), BiocManager, graphics, grDevices, methods,
preprocessCore, stats, utils, zlibbioc","preprocessCore","tkWidgets (>= 1.19.0), affydata, widgetTools",NA,"LGPL (>= 2.0)",NA,NA,NA,NA,"yes","4.2.1"
"affyio","affyio","/home/jupyter/.R/library","1.66.0",NA,"R (>= 2.6.0)","zlibbioc, methods",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"annotate","annotate","/home/jupyter/.R/library","1.74.0",NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), httr",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, humanCHRLOC, Rgraphviz, RUnit,",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"AnnotationDbi","AnnotationDbi","/home/jupyter/.R/library","1.58.0",NA,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, RUnit,
TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db, reactome.db,
AnnotationForge, graph, EnsDb.Hsapiens.v75, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"ape","ape","/home/jupyter/.R/library","5.6-2",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph, phangorn",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"aplot","aplot","/home/jupyter/.R/library","0.1.7",NA,NA,"ggfun (>= 0.0.6), ggplot2, ggplotify, patchwork, magrittr,
methods, utils",NA,"ggtree",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"babelgene","babelgene","/home/jupyter/.R/library","22.3",NA,"R (>= 3.4)","dplyr, methods, rlang",NA,"covr, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"bbmle","bbmle","/home/jupyter/.R/library","1.0.25",NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix,
mvtnorm",NA,"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat",NA,"GPL",NA,NA,NA,NA,"no","4.2.1"
"bdsmatrix","bdsmatrix","/home/jupyter/.R/library","1.3-6",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.2.1"
"BH","BH","/home/jupyter/.R/library","1.78.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.2.1"
"bigmemory","bigmemory","/home/jupyter/.R/library","4.6.1",NA,"R (>= 3.2.0),","bigmemory.sri, methods, utils, Rcpp, uuid (>= 1.0-2)","BH, uuid (>= 1.0-2), Rcpp","testthat, remotes","biganalytics, bigtabulate","LGPL-3 | Apache License 2.0",NA,NA,NA,NA,"yes","4.2.1"
"bigmemory.sri","bigmemory.sri","/home/jupyter/.R/library","0.1.3",NA,NA,"methods",NA,NA,"bigmemory, synchronicity","LGPL-3 | Apache License 2.0",NA,NA,NA,NA,"no","4.2.1"
"Biobase","Biobase","/home/jupyter/.R/library","2.56.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"BiocFileCache","BiocFileCache","/home/jupyter/.R/library","2.4.0",NA,"R (>= 3.4.0), dbplyr (>= 1.0.0)","methods, stats, utils, dplyr, RSQLite, DBI, rappdirs,
filelock, curl, httr",NA,"testthat, knitr, BiocStyle, rmarkdown, rtracklayer",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
